phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
52,64,-12,68.92822265625,68.92822265625
59,64,-5,68.994140625,68.994140625
61,64,-3,68.97216796875,68.97216796875
60,64,-4,68.8623046875,68.8623046875
64,64,0,68.8623046875,68.8623046875
63,64,-1,68.75244140625,68.75244140625
61,64,-3,68.62060546875,68.62060546875
66,64,2,68.642578125,68.642578125
65,64,1,68.5546875,68.5546875
65,64,1,68.466796875,68.466796875
61,64,-3,68.291015625,68.291015625
63,64,-1,68.2470703125,68.2470703125
61,64,-3,68.115234375,68.115234375
59,64,-5,67.9833984375,67.9833984375
60,64,-4,67.91748046875,67.91748046875
61,64,-3,67.8515625,67.8515625
58,64,-6,67.7197265625,67.7197265625
62,64,-2,67.7197265625,67.7197265625
57,64,-7,67.52197265625,67.52197265625
58,60,-2,67.4560546875,67.4560546875
57,60,-3,67.34619140625,67.34619140625
56,60,-4,67.236328125,67.236328125
57,60,-3,67.17041015625,67.17041015625
55,60,-5,67.03857421875,67.03857421875
54,60,-6,66.95068359375,66.95068359375
48,60,-12,66.73095703125,66.73095703125
42,60,-18,66.51123046875,66.51123046875
45,60,-15,66.4892578125,66.4892578125
46,60,-14,66.42333984375,66.42333984375
44,60,-16,66.29150390625,66.29150390625
46,60,-14,66.24755859375,66.24755859375
44,60,-16,66.11572265625,66.11572265625
45,60,-15,66.07177734375,66.07177734375
46,60,-14,66.005859375,66.005859375
44,60,-16,65.8740234375,65.8740234375
49,60,-11,65.89599609375,65.89599609375
49,60,-11,65.80810546875,65.80810546875
54,60,-6,65.85205078125,65.85205078125
58,60,-2,65.85205078125,65.85205078125
60,60,0,65.80810546875,65.80810546875
58,60,-2,65.67626953125,65.67626953125
58,60,-2,65.58837890625,65.58837890625
59,60,-1,65.5224609375,65.5224609375
59,60,-1,65.4345703125,65.4345703125
54,60,-6,65.2587890625,65.2587890625
54,60,-6,65.1708984375,65.1708984375
55,60,-5,65.10498046875,65.10498046875
53,60,-7,64.97314453125,64.97314453125
52,60,-8,64.86328125,64.86328125
53,60,-7,64.79736328125,64.79736328125
49,56,-7,64.62158203125,64.62158203125
50,56,-6,64.57763671875,64.57763671875
51,56,-5,64.51171875,64.51171875
47,56,-9,64.3359375,64.3359375
51,56,-5,64.3359375,64.3359375
49,56,-7,64.2041015625,64.2041015625
46,56,-10,64.05029296875,64.05029296875
48,56,-8,64.00634765625,64.00634765625
45,56,-11,63.8525390625,63.8525390625
45,56,-11,63.7646484375,63.7646484375
44,56,-12,63.6767578125,63.6767578125
41,56,-15,63.52294921875,63.52294921875
42,56,-14,63.45703125,63.45703125
