phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
-38,-24,-14,354.13330078125,354.13330078125
-34,-24,-10,354.13330078125,354.13330078125
-34,-24,-10,354.04541015625,354.04541015625
-32,-24,-8,354.0234375,354.0234375
-28,-24,-4,354.0234375,354.0234375
-24,-24,0,354.0234375,354.0234375
-22,-24,2,353.9794921875,353.9794921875
-15,-24,9,354.04541015625,354.04541015625
-17,-24,7,353.935546875,353.935546875
-16,-24,8,353.86962890625,353.86962890625
-18,-24,6,353.73779296875,353.73779296875
-14,-24,10,353.73779296875,353.73779296875
-15,-24,9,353.6279296875,353.6279296875
-12,-24,12,353.60595703125,353.60595703125
-10,-24,14,353.583984375,353.583984375
-12,-24,12,353.4521484375,353.4521484375
-14,-24,10,353.3203125,353.3203125
-13,-24,11,353.25439453125,353.25439453125
-12,-24,12,353.1884765625,353.1884765625
-8,-24,16,353.1884765625,353.1884765625
-14,-24,10,352.96875,352.96875
-19,-24,5,352.77099609375,352.77099609375
-19,-24,5,352.705078125,352.705078125
-23,-24,1,352.529296875,352.529296875
-26,-24,-2,352.37548828125,352.37548828125
-28,-24,-4,352.24365234375,352.24365234375
-30,-24,-6,352.11181640625,352.11181640625
-34,-24,-10,351.93603515625,351.93603515625
-37,-24,-13,351.7822265625,351.7822265625
-41,-24,-17,351.6064453125,351.6064453125
-42,-32,-10,351.49658203125,351.49658203125
-41,-32,-9,351.45263671875,351.45263671875
-46,-32,-14,351.2548828125,351.2548828125
-48,-32,-16,351.123046875,351.123046875
-46,-32,-14,351.0791015625,351.0791015625
-44,-32,-12,351.03515625,351.03515625
-45,-32,-13,350.92529296875,350.92529296875
-43,-32,-11,350.88134765625,350.88134765625
-39,-32,-7,350.88134765625,350.88134765625
-35,-32,-3,350.9033203125,350.9033203125
-36,-32,-4,350.79345703125,350.79345703125
-32,-32,0,350.79345703125,350.79345703125
-33,-32,-1,350.68359375,350.68359375
-34,-32,-2,350.57373046875,350.57373046875
-33,-32,-1,350.5078125,350.5078125
-34,-32,-2,350.39794921875,350.39794921875
-34,-32,-2,350.31005859375,350.31005859375
-33,-32,-1,350.244140625,350.244140625
-33,-32,-1,350.17822265625,350.17822265625
-35,-32,-3,350.04638671875,350.04638671875
-34,-32,-2,349.98046875,349.98046875
-34,-32,-2,349.892578125,349.892578125
-33,-32,-1,349.82666015625,349.82666015625
-33,-32,-1,349.73876953125,349.73876953125
-37,-32,-5,349.56298828125,349.56298828125
-36,-32,-4,349.51904296875,349.51904296875
-37,-32,-5,349.4091796875,349.4091796875
-42,-32,-10,349.21142578125,349.21142578125
-44,-32,-12,349.07958984375,349.07958984375
-46,-32,-14,348.94775390625,348.94775390625
-44,-32,-12,348.90380859375,348.90380859375
-47,-32,-15,348.75,348.75
-49,-40,-9,348.64013671875,348.64013671875
-51,-40,-11,348.50830078125,348.50830078125
-51,-40,-11,348.42041015625,348.42041015625
-49,-40,-9,348.37646484375,348.37646484375
-47,-40,-7,348.33251953125,348.33251953125
-46,-40,-6,348.28857421875,348.28857421875
-46,-40,-6,348.20068359375,348.20068359375
-43,-40,-3,348.1787109375,348.1787109375
-40,-40,0,348.15673828125,348.15673828125
-37,-40,3,348.134765625,348.134765625
-34,-40,6,348.134765625,348.134765625
-31,-40,9,348.11279296875,348.11279296875
-28,-40,12,348.0908203125,348.0908203125
-29,-40,11,347.98095703125,347.98095703125
-28,-40,12,347.9150390625,347.9150390625
-29,-40,11,347.8271484375,347.8271484375
-24,-40,16,347.84912109375,347.84912109375
-25,-40,15,347.7392578125,347.7392578125
-24,-40,16,347.67333984375,347.67333984375
-26,-40,14,347.54150390625,347.54150390625
-26,-40,14,347.45361328125,347.45361328125
-27,-40,13,347.34375,347.34375
-29,-40,11,347.23388671875,347.23388671875
-29,-40,11,347.14599609375,347.14599609375
-29,-40,11,347.05810546875,347.05810546875
-30,-40,10,346.9482421875,346.9482421875
-32,-40,8,346.81640625,346.81640625
-37,-40,3,346.61865234375,346.61865234375
-40,-40,0,346.46484375,346.46484375
-41,-40,-1,346.35498046875,346.35498046875
-44,-40,-4,346.22314453125,346.22314453125
-47,-40,-7,346.0693359375,346.0693359375
-51,-48,-3,345.8935546875,345.8935546875
-52,-48,-4,345.78369140625,345.78369140625
-55,-48,-7,345.6298828125,345.6298828125
-57,-48,-9,345.498046875,345.498046875
-59,-48,-11,345.3662109375,345.3662109375
-62,-48,-14,345.21240234375,345.21240234375
-63,-48,-15,345.1025390625,345.1025390625
-65,-48,-17,344.99267578125,344.99267578125
-64,-48,-16,344.9267578125,344.9267578125
-62,-48,-14,344.8828125,344.8828125
-63,-48,-15,344.77294921875,344.77294921875
-59,-48,-11,344.77294921875,344.77294921875
-54,-48,-6,344.794921875,344.794921875
-50,-48,-2,344.81689453125,344.81689453125
-52,-48,-4,344.68505859375,344.68505859375
-49,-48,-1,344.6630859375,344.6630859375
-48,-48,0,344.59716796875,344.59716796875
-50,-48,-2,344.46533203125,344.46533203125
-49,-48,-1,344.3994140625,344.3994140625
-48,-48,0,344.33349609375,344.33349609375
-47,-48,1,344.267578125,344.267578125
-48,-48,0,344.15771484375,344.15771484375
-47,-48,1,344.091796875,344.091796875
-49,-48,-1,343.9599609375,343.9599609375
-49,-48,-1,343.8720703125,343.8720703125
-49,-48,-1,343.7841796875,343.7841796875
-49,-48,-1,343.71826171875,343.71826171875
-52,-48,-4,343.564453125,343.564453125
-53,-48,-5,343.45458984375,343.45458984375
-56,-48,-8,343.30078125,343.30078125
-56,-48,-8,343.212890625,343.212890625
-61,-56,-5,343.01513671875,343.01513671875
-63,-56,-7,342.88330078125,342.88330078125
-61,-56,-5,342.83935546875,342.83935546875
-63,-56,-7,342.70751953125,342.70751953125
-65,-56,-9,342.57568359375,342.57568359375
-67,-56,-11,342.4658203125,342.4658203125
-68,-56,-12,342.35595703125,342.35595703125
-66,-56,-10,342.31201171875,342.31201171875
-66,-56,-10,342.22412109375,342.22412109375
-68,-56,-12,342.09228515625,342.09228515625
-63,-56,-7,342.1142578125,342.1142578125
-60,-56,-4,342.09228515625,342.09228515625
-56,-56,0,342.1142578125,342.1142578125
-52,-56,4,342.1142578125,342.1142578125
-45,-56,11,342.18017578125,342.18017578125
-43,-56,13,342.13623046875,342.13623046875
-41,-56,15,342.09228515625,342.09228515625
-39,-56,17,342.0703125,342.0703125
-36,-56,20,342.04833984375,342.04833984375
-32,-56,24,342.04833984375,342.04833984375
-32,-56,24,341.96044921875,341.96044921875
-34,-56,22,341.82861328125,341.82861328125
-36,-56,20,341.69677734375,341.69677734375
-32,-56,24,341.69677734375,341.69677734375
-32,-56,24,341.630859375,341.630859375
-30,-56,26,341.5869140625,341.5869140625
-28,-56,28,341.54296875,341.54296875
-27,-56,29,341.47705078125,341.47705078125
-24,-56,32,341.455078125,341.455078125
-27,-56,29,341.30126953125,341.30126953125
-31,-56,25,341.1474609375,341.1474609375
-28,-56,28,341.12548828125,341.12548828125
-25,-56,31,341.103515625,341.103515625
-29,-56,27,340.927734375,340.927734375
-32,-56,24,340.77392578125,340.77392578125
-31,-56,25,340.7080078125,340.7080078125
-34,-56,22,340.55419921875,340.55419921875
-39,-56,17,340.37841796875,340.37841796875
-38,-56,18,340.3125,340.3125
-38,-64,26,340.224609375,340.224609375
-41,-64,23,340.07080078125,340.07080078125
-43,-64,21,339.93896484375,339.93896484375
-44,-64,20,339.8291015625,339.8291015625
-42,-64,22,339.78515625,339.78515625
-43,-64,21,339.697265625,339.697265625
-39,-64,25,339.697265625,339.697265625
-38,-64,26,339.63134765625,339.63134765625
-33,-64,31,339.6533203125,339.6533203125
-30,-64,34,339.63134765625,339.63134765625
-27,-64,37,339.63134765625,339.63134765625
-24,-64,40,339.609375,339.609375
-21,-64,43,339.58740234375,339.58740234375
-21,-64,43,339.49951171875,339.49951171875
-19,-64,45,339.45556640625,339.45556640625
-21,-64,43,339.32373046875,339.32373046875
-20,-64,44,339.2578125,339.2578125
-20,-64,44,339.169921875,339.169921875
-20,-64,44,339.08203125,339.08203125
-15,-64,49,339.10400390625,339.10400390625
-17,-64,47,338.994140625,338.994140625
-15,-64,49,338.9501953125,338.9501953125
-15,-64,49,338.8623046875,338.8623046875
-12,-64,52,338.84033203125,338.84033203125
-15,-64,49,338.6865234375,338.6865234375
-13,-64,51,338.642578125,338.642578125
-15,-64,49,338.5107421875,338.5107421875
-20,-64,44,338.31298828125,338.31298828125
-21,-64,43,338.22509765625,338.22509765625
-24,-64,40,338.0712890625,338.0712890625
-23,-64,41,338.00537109375,338.00537109375
-24,-64,40,337.8955078125,337.8955078125
-25,-64,39,337.78564453125,337.78564453125
-27,-64,37,337.65380859375,337.65380859375
-29,-64,35,337.52197265625,337.52197265625
-32,-64,32,337.3681640625,337.3681640625
-34,-64,30,337.25830078125,337.25830078125
-33,-64,31,337.1923828125,337.1923828125
-34,-64,30,337.08251953125,337.08251953125
-31,-64,33,337.060546875,337.060546875
-30,-64,34,336.99462890625,336.99462890625
-27,-64,37,336.99462890625,336.99462890625
-26,-64,38,336.9287109375,336.9287109375
-24,-64,40,336.884765625,336.884765625
-22,-64,42,336.8408203125,336.8408203125
-21,-64,43,336.77490234375,336.77490234375
-18,-64,46,336.7529296875,336.7529296875
-17,-64,47,336.708984375,336.708984375
-19,-64,45,336.5771484375,336.5771484375
-21,-64,43,336.4453125,336.4453125
-19,-64,45,336.4013671875,336.4013671875
-20,-64,44,336.29150390625,336.29150390625
-20,-64,44,336.20361328125,336.20361328125
-19,-64,45,336.1376953125,336.1376953125
-17,-64,47,336.11572265625,336.11572265625
-15,-64,49,336.07177734375,336.07177734375
-16,-64,48,335.9619140625,335.9619140625
-15,-64,49,335.89599609375,335.89599609375
-16,-64,48,335.7861328125,335.7861328125
-18,-64,46,335.654296875,335.654296875
-19,-64,45,335.56640625,335.56640625
-19,-64,45,335.478515625,335.478515625
-22,-64,42,335.32470703125,335.32470703125
-27,-64,37,335.126953125,335.126953125
-28,-64,36,335.01708984375,335.01708984375
-32,-64,32,334.84130859375,334.84130859375
-37,-64,27,334.6435546875,334.6435546875
-38,-64,26,334.5556640625,334.5556640625
-41,-64,23,334.40185546875,334.40185546875
-41,-64,23,334.31396484375,334.31396484375
-41,-64,23,334.22607421875,334.22607421875
-41,-64,23,334.13818359375,334.13818359375
-41,-64,23,334.05029296875,334.05029296875
-41,-64,23,333.984375,333.984375
-35,-64,29,334.0283203125,334.0283203125
-34,-64,30,333.96240234375,333.96240234375
-31,-64,33,333.9404296875,333.9404296875
-30,-64,34,333.87451171875,333.87451171875
-27,-64,37,333.87451171875,333.87451171875
-22,-64,42,333.896484375,333.896484375
-23,-64,41,333.78662109375,333.78662109375
-21,-64,43,333.74267578125,333.74267578125
-19,-64,45,333.69873046875,333.69873046875
-17,-64,47,333.65478515625,333.65478515625
-20,-64,44,333.5009765625,333.5009765625
-14,-64,50,333.544921875,333.544921875
-16,-64,48,333.43505859375,333.43505859375
-15,-64,49,333.369140625,333.369140625
-11,-64,53,333.369140625,333.369140625
-9,-64,55,333.3251953125,333.3251953125
-8,-64,56,333.25927734375,333.25927734375
-10,-64,54,333.12744140625,333.12744140625
-9,-64,55,333.0615234375,333.0615234375
-7,-64,57,333.017578125,333.017578125
-6,-64,58,332.9736328125,332.9736328125
-6,-64,58,332.8857421875,332.8857421875
-8,-64,56,332.75390625,332.75390625
-8,-64,56,332.666015625,332.666015625
-13,-64,51,332.46826171875,332.46826171875
-10,-64,54,332.4462890625,332.4462890625
-11,-64,53,332.33642578125,332.33642578125
-13,-64,51,332.2265625,332.2265625
-13,-64,51,332.138671875,332.138671875
-15,-64,49,332.0068359375,332.0068359375
-17,-64,47,331.875,331.875
-17,-64,47,331.787109375,331.787109375
-16,-64,48,331.72119140625,331.72119140625
-13,-64,51,331.72119140625,331.72119140625
-12,-64,52,331.6552734375,331.6552734375
-13,-64,51,331.54541015625,331.54541015625
-12,-64,52,331.4794921875,331.4794921875
-11,-64,53,331.41357421875,331.41357421875
-9,-64,55,331.36962890625,331.36962890625
-11,-64,53,331.23779296875,331.23779296875
-11,-64,53,331.171875,331.171875
-6,-64,58,331.19384765625,331.19384765625
-7,-64,57,331.083984375,331.083984375
-7,-64,57,330.99609375,330.99609375
-11,-64,53,330.8203125,330.8203125
-9,-64,55,330.7763671875,330.7763671875
-9,-64,55,330.6884765625,330.6884765625
-10,-64,54,330.57861328125,330.57861328125
-9,-64,55,330.5126953125,330.5126953125
-11,-64,53,330.40283203125,330.40283203125
-11,-64,53,330.31494140625,330.31494140625
-13,-64,51,330.18310546875,330.18310546875
-15,-64,49,330.05126953125,330.05126953125
-18,-64,46,329.8974609375,329.8974609375
-18,-64,46,329.8095703125,329.8095703125
-24,-64,40,329.58984375,329.58984375
-26,-64,38,329.4580078125,329.4580078125
-28,-64,36,329.326171875,329.326171875
-31,-64,33,329.17236328125,329.17236328125
-36,-64,28,328.974609375,328.974609375
-42,-64,22,328.77685546875,328.77685546875
-46,-64,18,328.60107421875,328.60107421875
-48,-64,16,328.46923828125,328.46923828125
-51,-64,13,328.3154296875,328.3154296875
-54,-64,10,328.16162109375,328.16162109375
-55,-64,9,328.0517578125,328.0517578125
-58,-64,6,327.89794921875,327.89794921875
-57,-64,7,327.83203125,327.83203125
-57,-64,7,327.76611328125,327.76611328125
-59,-64,5,327.63427734375,327.63427734375
-60,-64,4,327.5244140625,327.5244140625
-62,-64,2,327.392578125,327.392578125
-62,-64,2,327.3046875,327.3046875
-62,-64,2,327.216796875,327.216796875
-61,-64,3,327.15087890625,327.15087890625
-62,-64,2,327.041015625,327.041015625
-62,-64,2,326.953125,326.953125
-62,-64,2,326.865234375,326.865234375
-62,-64,2,326.77734375,326.77734375
-64,-64,0,326.6455078125,326.6455078125
-62,-64,2,326.6015625,326.6015625
-63,-64,1,326.49169921875,326.49169921875
-62,-64,2,326.42578125,326.42578125
-62,-64,2,326.337890625,326.337890625
-62,-64,2,326.25,326.25
-61,-64,3,326.2060546875,326.2060546875
-60,-64,4,326.14013671875,326.14013671875
-57,-64,7,326.1181640625,326.1181640625
-58,-64,6,326.00830078125,326.00830078125
-57,-64,7,325.9423828125,325.9423828125
-59,-64,5,325.810546875,325.810546875
-59,-64,5,325.72265625,325.72265625
-60,-64,4,325.61279296875,325.61279296875
-62,-64,2,325.5029296875,325.5029296875
-58,-64,6,325.5029296875,325.5029296875
-60,-64,4,325.37109375,325.37109375
-61,-64,3,325.26123046875,325.26123046875
-60,-64,4,325.1953125,325.1953125
-57,-64,7,325.17333984375,325.17333984375
-59,-64,5,325.0634765625,325.0634765625
-56,-64,8,325.04150390625,325.04150390625
-56,-64,8,324.95361328125,324.95361328125
-55,-64,9,324.8876953125,324.8876953125
-53,-64,11,324.84375,324.84375
-53,-64,11,324.755859375,324.755859375
-51,-64,13,324.7119140625,324.7119140625
-46,-64,18,324.73388671875,324.73388671875
-46,-64,18,324.66796875,324.66796875
-46,-64,18,324.580078125,324.580078125
-44,-64,20,324.5361328125,324.5361328125
-42,-64,22,324.4921875,324.4921875
-39,-64,25,324.47021484375,324.47021484375
-41,-64,23,324.33837890625,324.33837890625
-38,-64,26,324.31640625,324.31640625
-36,-64,28,324.2724609375,324.2724609375
-35,-64,29,324.20654296875,324.20654296875
-36,-64,28,324.0966796875,324.0966796875
-33,-64,31,324.0966796875,324.0966796875
-34,-64,30,323.98681640625,323.98681640625
-33,-64,31,323.9208984375,323.9208984375
-33,-64,31,323.8330078125,323.8330078125
-31,-64,33,323.7890625,323.7890625
-34,-64,30,323.63525390625,323.63525390625
-34,-64,30,323.54736328125,323.54736328125
-35,-64,29,323.4375,323.4375
-40,-64,24,323.23974609375,323.23974609375
-43,-64,21,323.10791015625,323.10791015625
-46,-64,18,322.9541015625,322.9541015625
-49,-64,15,322.80029296875,322.80029296875
-54,-64,10,322.6025390625,322.6025390625
-55,-64,9,322.49267578125,322.49267578125
-58,-64,6,322.3388671875,322.3388671875
-56,-64,8,322.294921875,322.294921875
-58,-64,6,322.1630859375,322.1630859375
-61,-64,3,322.03125,322.03125
-61,-64,3,321.943359375,321.943359375
-61,-64,3,321.85546875,321.85546875
-62,-64,2,321.74560546875,321.74560546875
-63,-64,1,321.6357421875,321.6357421875
-64,-64,0,321.52587890625,321.52587890625
-62,-64,2,321.48193359375,321.48193359375
-64,-64,0,321.35009765625,321.35009765625
-62,-64,2,321.30615234375,321.30615234375
-60,-64,4,321.26220703125,321.26220703125
-60,-64,4,321.17431640625,321.17431640625
-60,-64,4,321.1083984375,321.1083984375
-64,-64,0,320.9326171875,320.9326171875
-65,-64,-1,320.82275390625,320.82275390625
-63,-64,1,320.77880859375,320.77880859375
-60,-64,4,320.7568359375,320.7568359375
-61,-64,3,320.64697265625,320.64697265625
-59,-64,5,320.60302734375,320.60302734375
-56,-64,8,320.5810546875,320.5810546875
-58,-64,6,320.44921875,320.44921875
-57,-64,7,320.4052734375,320.4052734375
-57,-64,7,320.3173828125,320.3173828125
-57,-64,7,320.2294921875,320.2294921875
-56,-64,8,320.16357421875,320.16357421875
-58,-64,6,320.03173828125,320.03173828125
-57,-64,7,319.9658203125,319.9658203125
-59,-64,5,319.833984375,319.833984375
-62,-64,2,319.7021484375,319.7021484375
-61,-64,3,319.63623046875,319.63623046875
-62,-64,2,319.5263671875,319.5263671875
-60,-64,4,319.482421875,319.482421875
-61,-64,3,319.37255859375,319.37255859375
-59,-64,5,319.3505859375,319.3505859375
-58,-64,6,319.28466796875,319.28466796875
-59,-64,5,319.1748046875,319.1748046875
-59,-64,5,319.0869140625,319.0869140625
-56,-64,8,319.06494140625,319.06494140625
-59,-64,5,318.9111328125,318.9111328125
-59,-64,5,318.8232421875,318.8232421875
-56,-64,8,318.8232421875,318.8232421875
-54,-64,10,318.779296875,318.779296875
-54,-64,10,318.69140625,318.69140625
-52,-64,12,318.6474609375,318.6474609375
-50,-64,14,318.603515625,318.603515625
-49,-64,15,318.53759765625,318.53759765625
-47,-64,17,318.49365234375,318.49365234375
-49,-64,15,318.3837890625,318.3837890625
-50,-64,14,318.27392578125,318.27392578125
-48,-64,16,318.22998046875,318.22998046875
-46,-64,18,318.18603515625,318.18603515625
-46,-64,18,318.09814453125,318.09814453125
-43,-64,21,318.076171875,318.076171875
-44,-64,20,317.96630859375,317.96630859375
-46,-64,18,317.83447265625,317.83447265625
-47,-64,17,317.724609375,317.724609375
-48,-64,16,317.61474609375,317.61474609375
-47,-64,17,317.548828125,317.548828125
-49,-64,15,317.4169921875,317.4169921875
-54,-64,10,317.2412109375,317.2412109375
-52,-64,12,317.197265625,317.197265625
-54,-64,10,317.0654296875,317.0654296875
-59,-64,5,316.86767578125,316.86767578125
-62,-64,2,316.7138671875,316.7138671875
-61,-64,3,316.64794921875,316.64794921875
-60,-64,4,316.58203125,316.58203125
-63,-64,1,316.42822265625,316.42822265625
-66,-64,-2,316.2744140625,316.2744140625
-68,-64,-4,316.16455078125,316.16455078125
-72,-64,-8,315.98876953125,315.98876953125
-73,-64,-9,315.87890625,315.87890625
-76,-64,-12,315.72509765625,315.72509765625
-75,-64,-11,315.6591796875,315.6591796875
-78,-64,-14,315.50537109375,315.50537109375
-76,-64,-12,315.46142578125,315.46142578125
-74,-64,-10,315.41748046875,315.41748046875
-71,-64,-7,315.3955078125,315.3955078125
-71,-64,-7,315.3076171875,315.3076171875
-66,-64,-2,315.32958984375,315.32958984375
-64,-64,0,315.28564453125,315.28564453125
-65,-64,-1,315.17578125,315.17578125
-66,-64,-2,315.06591796875,315.06591796875
-64,-64,0,315.02197265625,315.02197265625
-62,-68,6,314.97802734375,314.97802734375
-60,-68,8,314.9560546875,314.9560546875
-60,-68,8,314.8681640625,314.8681640625
-56,-68,12,314.8681640625,314.8681640625
-52,-68,16,314.8681640625,314.8681640625
-49,-68,19,314.84619140625,314.84619140625
-49,-68,19,314.75830078125,314.75830078125
-51,-68,17,314.62646484375,314.62646484375
-48,-68,20,314.6044921875,314.6044921875
-47,-68,21,314.53857421875,314.53857421875
-48,-68,20,314.4287109375,314.4287109375
-51,-68,17,314.27490234375,314.27490234375
-49,-68,19,314.2529296875,314.2529296875
-50,-68,18,314.14306640625,314.14306640625
-48,-68,20,314.09912109375,314.09912109375
-51,-68,17,313.9453125,313.9453125
-48,-68,20,313.92333984375,313.92333984375
-50,-68,18,313.79150390625,313.79150390625
-53,-68,15,313.6376953125,313.6376953125
-54,-68,14,313.5498046875,313.5498046875
-52,-68,16,313.505859375,313.505859375
-56,-68,12,313.330078125,313.330078125
-57,-68,11,313.22021484375,313.22021484375
-56,-68,12,313.154296875,313.154296875
-56,-68,12,313.06640625,313.06640625
-57,-68,11,312.95654296875,312.95654296875
-57,-68,11,312.86865234375,312.86865234375
-56,-68,12,312.802734375,312.802734375
-55,-68,13,312.73681640625,312.73681640625
-52,-68,16,312.71484375,312.71484375
-55,-68,13,312.5830078125,312.5830078125
-54,-68,14,312.51708984375,312.51708984375
