phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
7,20,-13,16.0400390625,16.0400390625
8,20,-12,15.97412109375,15.97412109375
11,20,-9,15.9521484375,15.9521484375
9,20,-11,15.84228515625,15.84228515625
12,20,-8,15.8203125,15.8203125
11,20,-9,15.71044921875,15.71044921875
12,20,-8,15.64453125,15.64453125
14,20,-6,15.6005859375,15.6005859375
15,20,-5,15.53466796875,15.53466796875
17,20,-3,15.49072265625,15.49072265625
22,20,2,15.53466796875,15.53466796875
20,20,0,15.40283203125,15.40283203125
23,20,3,15.380859375,15.380859375
24,20,4,15.31494140625,15.31494140625
27,20,7,15.29296875,15.29296875
26,20,6,15.18310546875,15.18310546875
28,20,8,15.1611328125,15.1611328125
28,20,8,15.0732421875,15.0732421875
28,20,8,14.9853515625,14.9853515625
33,20,13,15.00732421875,15.00732421875
39,20,19,15.05126953125,15.05126953125
42,20,22,15.029296875,15.029296875
45,20,25,15.029296875,15.029296875
46,20,26,14.96337890625,14.96337890625
49,20,29,14.94140625,14.94140625
48,20,28,14.83154296875,14.83154296875
48,20,28,14.74365234375,14.74365234375
47,20,27,14.6337890625,14.6337890625
42,20,22,14.4580078125,14.4580078125
41,20,21,14.34814453125,14.34814453125
38,20,18,14.1943359375,14.1943359375
34,16,18,14.0185546875,14.0185546875
34,16,18,13.9306640625,13.9306640625
32,16,16,13.798828125,13.798828125
31,16,15,13.68896484375,13.68896484375
29,16,13,13.55712890625,13.55712890625
26,16,10,13.42529296875,13.42529296875
24,16,8,13.29345703125,13.29345703125
23,16,7,13.18359375,13.18359375
21,16,5,13.0517578125,13.0517578125
19,16,3,12.919921875,12.919921875
17,16,1,12.7880859375,12.7880859375
19,16,3,12.744140625,12.744140625
20,16,4,12.7001953125,12.7001953125
20,16,4,12.6123046875,12.6123046875
17,16,1,12.45849609375,12.45849609375
20,16,4,12.4365234375,12.4365234375
23,16,7,12.41455078125,12.41455078125
21,16,5,12.28271484375,12.28271484375
21,16,5,12.19482421875,12.19482421875
21,16,5,12.12890625,12.12890625
21,16,5,12.041015625,12.041015625
21,16,5,11.953125,11.953125
27,16,11,11.9970703125,11.9970703125
23,16,7,11.8212890625,11.8212890625
26,16,10,11.79931640625,11.79931640625
28,16,12,11.75537109375,11.75537109375
27,16,11,11.66748046875,11.66748046875
26,16,10,11.5576171875,11.5576171875
25,16,9,11.44775390625,11.44775390625
23,16,7,11.31591796875,11.31591796875
23,12,11,11.22802734375,11.22802734375
21,12,9,11.09619140625,11.09619140625
16,12,4,10.8984375,10.8984375
17,12,5,10.83251953125,10.83251953125
12,12,0,10.65673828125,10.65673828125
12,12,0,10.56884765625,10.56884765625
10,12,-2,10.43701171875,10.43701171875
3,12,-9,10.1953125,10.1953125
0,12,-12,10.04150390625,10.04150390625
2,12,-10,9.99755859375,9.99755859375
1,12,-11,9.8876953125,9.8876953125
2,12,-10,9.84375,9.84375
0,12,-12,9.7119140625,9.7119140625
2,12,-10,9.66796875,9.66796875
0,12,-12,9.5361328125,9.5361328125
4,12,-8,9.5361328125,9.5361328125
5,12,-7,9.47021484375,9.47021484375
6,12,-6,9.404296875,9.404296875
5,12,-7,9.29443359375,9.29443359375
4,12,-8,9.20654296875,9.20654296875
6,12,-6,9.16259765625,9.16259765625
8,12,-4,9.11865234375,9.11865234375
8,12,-4,9.03076171875,9.03076171875
11,12,-1,9.0087890625,9.0087890625
10,12,-2,8.89892578125,8.89892578125
18,12,6,9.0087890625,9.0087890625
25,12,13,9.07470703125,9.07470703125
26,12,14,9.0087890625,9.0087890625
28,12,16,8.96484375,8.96484375
26,12,14,8.8330078125,8.8330078125
29,12,17,8.81103515625,8.81103515625
27,12,15,8.701171875,8.701171875
29,12,17,8.6572265625,8.6572265625
28,12,16,8.54736328125,8.54736328125
27,12,15,8.4375,8.4375
24,8,16,8.28369140625,8.28369140625
19,8,11,8.0859375,8.0859375
17,8,9,7.9541015625,7.9541015625
17,8,9,7.8662109375,7.8662109375
14,8,6,7.71240234375,7.71240234375
10,8,2,7.55859375,7.55859375
7,8,-1,7.40478515625,7.40478515625
7,8,-1,7.31689453125,7.31689453125
6,8,-2,7.20703125,7.20703125
4,8,-4,7.0751953125,7.0751953125
2,8,-6,6.943359375,6.943359375
