phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
-204,-68,-136,250.9716796875,250.9716796875
-209,-68,-141,251.1474609375,251.1474609375
-199,-68,-131,251.65283203125,251.65283203125
-206,-68,-138,251.78466796875,251.78466796875
-206,-68,-138,252.09228515625,252.09228515625
-209,-68,-141,252.31201171875,252.31201171875
-220,-68,-152,252.3779296875,252.3779296875
-225,-68,-157,252.5537109375,252.5537109375
-214,-68,-146,253.0810546875,253.0810546875
-208,-72,-136,253.49853515625,253.49853515625
-213,-72,-141,253.67431640625,253.67431640625
-214,-72,-142,253.93798828125,253.93798828125
-228,-72,-156,253.916015625,253.916015625
-240,-72,-168,253.93798828125,253.93798828125
-252,-72,-180,253.9599609375,253.9599609375
-270,-72,-198,253.85009765625,253.85009765625
-265,-72,-193,254.267578125,254.267578125
-265,-72,-193,254.55322265625,254.55322265625
-252,-72,-180,255.12451171875,255.12451171875
-236,-72,-164,255.78369140625,255.78369140625
-234,-76,-158,256.11328125,256.11328125
-226,-76,-150,256.57470703125,256.57470703125
-229,-76,-153,256.79443359375,256.79443359375
-222,-76,-146,257.255859375,257.255859375
-234,-76,-158,257.27783203125,257.27783203125
-224,-76,-148,257.783203125,257.783203125
-224,-76,-148,258.0908203125,258.0908203125
-224,-76,-148,258.37646484375,258.37646484375
-226,-76,-150,258.6181640625,258.6181640625
-211,-80,-131,259.2333984375,259.2333984375
-206,-80,-126,259.62890625,259.62890625
-211,-80,-131,259.8046875,259.8046875
-220,-80,-140,259.892578125,259.892578125
-238,-80,-158,259.78271484375,259.78271484375
-242,-80,-162,260.00244140625,260.00244140625
-256,-80,-176,259.98046875,259.98046875
-267,-80,-187,260.0244140625,260.0244140625
-264,-80,-184,260.3759765625,260.3759765625
-260,-80,-180,260.771484375,260.771484375
-252,-80,-172,261.23291015625,261.23291015625
-232,-84,-148,261.9580078125,261.9580078125
-235,-84,-151,262.177734375,262.177734375
-224,-84,-140,262.72705078125,262.72705078125
-217,-84,-133,263.16650390625,263.16650390625
-229,-84,-145,263.1884765625,263.1884765625
-211,-84,-127,263.8916015625,263.8916015625
-209,-84,-125,264.2431640625,264.2431640625
-201,-88,-113,264.70458984375,264.70458984375
-191,-88,-103,265.23193359375,265.23193359375
-175,-88,-87,265.869140625,265.869140625
-170,-88,-82,266.2646484375,266.2646484375
-165,-88,-77,266.66015625,266.66015625
-160,-88,-72,267.0556640625,267.0556640625
-174,-88,-86,267.03369140625,267.03369140625
-182,-88,-94,267.16552734375,267.16552734375
-196,-88,-108,267.1435546875,267.1435546875
-197,-92,-105,267.4072265625,267.4072265625
-195,-92,-103,267.73681640625,267.73681640625
-190,-92,-98,268.13232421875,268.13232421875
-175,-92,-83,268.74755859375,268.74755859375
-170,-92,-78,269.1650390625,269.1650390625
-165,-92,-73,269.560546875,269.560546875
-153,-96,-57,270.10986328125,270.10986328125
-156,-96,-60,270.3515625,270.3515625
-147,-96,-51,270.8349609375,270.8349609375
-146,-96,-50,271.16455078125,271.16455078125
-152,-96,-56,271.318359375,271.318359375
-141,-96,-45,271.86767578125,271.86767578125
-127,-96,-31,272.4609375,272.4609375
-130,-96,-34,272.6806640625,272.6806640625
-120,-96,-24,273.18603515625,273.18603515625
-102,-96,-6,273.88916015625,273.88916015625
-106,-96,-10,274.0869140625,274.0869140625
-113,-96,-17,274.21875,274.21875
-124,-96,-28,274.2626953125,274.2626953125
-125,-96,-29,274.54833984375,274.54833984375
-138,-96,-42,274.54833984375,274.54833984375
-142,-96,-46,274.74609375,274.74609375
-146,-96,-50,274.94384765625,274.94384765625
-134,-96,-38,275.4931640625,275.4931640625
-124,-96,-28,275.99853515625,275.99853515625
-119,-96,-23,276.39404296875,276.39404296875
-126,-96,-30,276.52587890625,276.52587890625
-120,-96,-24,276.96533203125,276.96533203125
-128,-96,-32,277.0751953125,277.0751953125
-132,-96,-36,277.27294921875,277.27294921875
-137,-96,-41,277.44873046875,277.44873046875
-146,-96,-50,277.53662109375,277.53662109375
-150,-96,-54,277.734375,277.734375
-153,-96,-57,277.9541015625,277.9541015625
-138,-96,-42,278.59130859375,278.59130859375
-146,-96,-50,278.701171875,278.701171875
-151,-96,-55,278.876953125,278.876953125
-147,-96,-51,279.25048828125,279.25048828125
-155,-96,-59,279.38232421875,279.38232421875
-158,-96,-62,279.60205078125,279.60205078125
-167,-96,-71,279.68994140625,279.68994140625
-167,-96,-71,279.9755859375,279.9755859375
-164,-96,-68,280.34912109375,280.34912109375
-146,-96,-50,281.0302734375,281.0302734375
-136,-96,-40,281.53564453125,281.53564453125
-128,-96,-32,281.9970703125,281.9970703125
-118,-96,-22,282.5244140625,282.5244140625
-122,-96,-26,282.72216796875,282.72216796875
-123,-96,-27,282.98583984375,282.98583984375
-126,-96,-30,283.2275390625,283.2275390625
-137,-96,-41,283.271484375,283.271484375
-146,-96,-50,283.359375,283.359375
-158,-96,-62,283.359375,283.359375
-159,-96,-63,283.623046875,283.623046875
-136,-96,-40,284.43603515625,284.43603515625
-150,-96,-54,284.4140625,284.4140625
-149,-96,-53,284.7216796875,284.7216796875
-145,-96,-49,285.09521484375,285.09521484375
-151,-96,-55,285.27099609375,285.27099609375
-164,-96,-68,285.27099609375,285.27099609375
-174,-96,-78,285.3369140625,285.3369140625
-176,-96,-80,285.57861328125,285.57861328125
-177,-96,-81,285.84228515625,285.84228515625
-162,-96,-66,286.45751953125,286.45751953125
-148,-96,-52,287.05078125,287.05078125
-139,-96,-43,287.55615234375,287.55615234375
-135,-96,-39,287.9296875,287.9296875
-131,-96,-35,288.30322265625,288.30322265625
-130,-96,-34,288.6328125,288.6328125
-142,-96,-46,288.65478515625,288.65478515625
-136,-96,-40,289.072265625,289.072265625
-149,-96,-53,289.072265625,289.072265625
-152,-96,-56,289.2919921875,289.2919921875
-143,-96,-47,289.775390625,289.775390625
-137,-96,-41,290.21484375,290.21484375
-126,-96,-30,290.7421875,290.7421875
-127,-96,-31,291.005859375,291.005859375
-138,-96,-42,291.0498046875,291.0498046875
-156,-96,-60,290.9619140625,290.9619140625
-165,-96,-69,291.0498046875,291.0498046875
-180,-96,-84,291.005859375,291.005859375
-189,-96,-93,291.09375,291.09375
-195,-96,-99,291.24755859375,291.24755859375
-191,-96,-95,291.62109375,291.62109375
-173,-96,-77,292.30224609375,292.30224609375
-163,-96,-67,292.82958984375,292.82958984375
-170,-96,-74,292.96142578125,292.96142578125
-164,-96,-68,293.40087890625,293.40087890625
-173,-96,-77,293.48876953125,293.48876953125
-188,-96,-92,293.44482421875,293.44482421875
-200,-96,-104,293.466796875,293.466796875
-214,-96,-118,293.44482421875,293.44482421875
-213,-96,-117,293.75244140625,293.75244140625
-203,-96,-107,294.2578125,294.2578125
-188,-96,-92,294.873046875,294.873046875
