phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
-16,0,-16,181.58203125,181.58203125
-16,0,-16,181.86767578125,181.86767578125
-2,0,-2,182.4609375,182.4609375
5,-4,9,182.92236328125,182.92236328125
10,-4,14,183.33984375,183.33984375
2,-4,6,183.44970703125,183.44970703125
11,-4,15,183.93310546875,183.93310546875
3,-4,7,184.06494140625,184.06494140625
-3,-4,1,184.19677734375,184.19677734375
-23,-4,-19,184.04296875,184.04296875
-20,-4,-16,184.39453125,184.39453125
-19,-4,-15,184.72412109375,184.72412109375
-23,-4,-19,184.921875,184.921875
-7,-4,-3,185.55908203125,185.55908203125
0,-8,8,185.99853515625,185.99853515625
-2,-8,6,186.240234375,186.240234375
6,-8,14,186.7236328125,186.7236328125
4,-8,12,186.9873046875,186.9873046875
7,-8,15,187.3388671875,187.3388671875
-5,-8,3,187.3388671875,187.3388671875
-4,-8,4,187.646484375,187.646484375
-12,-8,-4,187.75634765625,187.75634765625
-15,-8,-7,187.97607421875,187.97607421875
-14,-8,-6,188.28369140625,188.28369140625
-9,-12,3,188.67919921875,188.67919921875
-24,-12,-12,188.63525390625,188.63525390625
-17,-12,-5,189.07470703125,189.07470703125
-29,-12,-17,189.11865234375,189.11865234375
-29,-12,-17,189.404296875,189.404296875
-43,-12,-31,189.38232421875,189.38232421875
-56,-12,-44,189.38232421875,189.38232421875
-53,-12,-41,189.755859375,189.755859375
-59,-12,-47,189.8876953125,189.8876953125
-62,-12,-50,190.107421875,190.107421875
-44,-12,-32,190.810546875,190.810546875
-46,-12,-34,191.05224609375,191.05224609375
-44,-16,-28,191.3818359375,191.3818359375
-51,-16,-35,191.513671875,191.513671875
-52,-16,-36,191.79931640625,191.79931640625
-43,-16,-27,192.28271484375,192.28271484375
-49,-16,-33,192.4365234375,192.4365234375
-67,-16,-51,192.32666015625,192.32666015625
-57,-16,-41,192.85400390625,192.85400390625
-51,-16,-35,193.24951171875,193.24951171875
-45,-16,-29,193.68896484375,193.68896484375
-41,-20,-21,194.0625,194.0625
-42,-20,-22,194.326171875,194.326171875
-41,-20,-21,194.65576171875,194.65576171875
-61,-20,-41,194.501953125,194.501953125
-62,-20,-42,194.765625,194.765625
-71,-20,-51,194.853515625,194.853515625
-68,-20,-48,195.205078125,195.205078125
-80,-20,-60,195.22705078125,195.22705078125
-66,-20,-46,195.8203125,195.8203125
-61,-20,-41,196.23779296875,196.23779296875
-57,-20,-37,196.611328125,196.611328125
-60,-20,-40,196.8310546875,196.8310546875
-57,-24,-33,197.1826171875,197.1826171875
-67,-24,-43,197.2705078125,197.2705078125
-67,-24,-43,197.55615234375,197.55615234375
-68,-24,-44,197.81982421875,197.81982421875
-81,-24,-57,197.81982421875,197.81982421875
-73,-24,-49,198.28125,198.28125
-55,-24,-31,198.96240234375,198.96240234375
-48,-24,-24,199.423828125,199.423828125
-37,-28,-9,199.951171875,199.951171875
-38,-28,-10,200.23681640625,200.23681640625
-48,-28,-20,200.302734375,200.302734375
-46,-28,-18,200.63232421875,200.63232421875
-65,-28,-37,200.50048828125,200.50048828125
-71,-28,-43,200.67626953125,200.67626953125
-74,-28,-46,200.89599609375,200.89599609375
-65,-28,-37,201.37939453125,201.37939453125
-54,-28,-26,201.90673828125,201.90673828125
-35,-32,-3,202.6318359375,202.6318359375
-34,-32,-2,202.939453125,202.939453125
-31,-32,1,203.291015625,203.291015625
-38,-32,-6,203.4228515625,203.4228515625
-43,-32,-11,203.62060546875,203.62060546875
-59,-32,-27,203.5546875,203.5546875
-70,-32,-38,203.57666015625,203.57666015625
-73,-32,-41,203.818359375,203.818359375
-66,-32,-34,204.2578125,204.2578125
-57,-32,-25,204.7412109375,204.7412109375
-34,-36,2,205.55419921875,205.55419921875
-43,-36,-7,205.64208984375,205.64208984375
-40,-36,-4,205.99365234375,205.99365234375
-38,-36,-2,206.34521484375,206.34521484375
-56,-36,-20,206.2353515625,206.2353515625
-72,-36,-36,206.19140625,206.19140625
-82,-36,-46,206.25732421875,206.25732421875
-78,-36,-42,206.630859375,206.630859375
-70,-36,-34,207.09228515625,207.09228515625
-55,-36,-19,207.7294921875,207.7294921875
-43,-40,-3,208.27880859375,208.27880859375
-32,-40,8,208.80615234375,208.80615234375
-56,-40,-16,208.564453125,208.564453125
-52,-40,-12,208.93798828125,208.93798828125
-71,-40,-31,208.828125,208.828125
-88,-40,-48,208.71826171875,208.71826171875
-94,-40,-54,208.8720703125,208.8720703125
-92,-40,-52,209.20166015625,209.20166015625
-95,-40,-55,209.42138671875,209.42138671875
-78,-40,-38,210.08056640625,210.08056640625
-72,-40,-32,210.52001953125,210.52001953125
-74,-40,-34,210.76171875,210.76171875
-65,-44,-21,211.2451171875,211.2451171875
-82,-44,-38,211.1572265625,211.1572265625
-89,-44,-45,211.31103515625,211.31103515625
-110,-44,-66,211.11328125,211.11328125
-115,-44,-71,211.31103515625,211.31103515625
-119,-44,-75,211.5087890625,211.5087890625
-117,-44,-73,211.83837890625,211.83837890625
-92,-44,-48,212.67333984375,212.67333984375
-86,-44,-42,213.11279296875,213.11279296875
-78,-44,-34,213.57421875,213.57421875
-83,-48,-35,213.75,213.75
-78,-48,-30,214.1455078125,214.1455078125
-95,-48,-47,214.0576171875,214.0576171875
-105,-48,-57,214.12353515625,214.12353515625
-121,-48,-73,214.0576171875,214.0576171875
-114,-48,-66,214.51904296875,214.51904296875
-110,-48,-62,214.892578125,214.892578125
-93,-48,-45,215.5517578125,215.5517578125
-98,-48,-50,215.7275390625,215.7275390625
-90,-48,-42,216.18896484375,216.18896484375
-88,-48,-40,216.54052734375,216.54052734375
-102,-48,-54,216.5185546875,216.5185546875
-120,-48,-72,216.40869140625,216.40869140625
-134,-48,-86,216.38671875,216.38671875
-139,-52,-87,216.5625,216.5625
-134,-52,-82,216.9580078125,216.9580078125
-134,-52,-82,217.24365234375,217.24365234375
-115,-52,-63,217.94677734375,217.94677734375
-103,-52,-51,218.51806640625,218.51806640625
-106,-52,-54,218.73779296875,218.73779296875
-90,-56,-34,219.375,219.375
-90,-56,-34,219.6826171875,219.6826171875
-100,-56,-44,219.74853515625,219.74853515625
-108,-56,-52,219.8583984375,219.8583984375
-102,-56,-46,220.27587890625,220.27587890625
-108,-56,-52,220.45166015625,220.45166015625
-102,-56,-46,220.869140625,220.869140625
-84,-56,-28,221.55029296875,221.55029296875
-84,-56,-28,221.85791015625,221.85791015625
-87,-56,-31,222.07763671875,222.07763671875
-88,-60,-28,222.34130859375,222.34130859375
-96,-60,-36,222.451171875,222.451171875
-124,-56,-68,222.12158203125,222.12158203125
-143,-56,-87,221.98974609375,221.98974609375
-140,-60,-80,222.36328125,222.36328125
-158,-60,-98,222.25341796875,222.25341796875
-149,-60,-89,222.73681640625,222.73681640625
-137,-60,-77,223.2861328125,223.2861328125
-115,-60,-55,224.0771484375,224.0771484375
-101,-60,-41,224.67041015625,224.67041015625
-108,-60,-48,224.80224609375,224.80224609375
-107,-64,-43,225.1318359375,225.1318359375
-119,-64,-55,225.15380859375,225.15380859375
-122,-64,-58,225.37353515625,225.37353515625
-132,-64,-68,225.439453125,225.439453125
-123,-64,-59,225.94482421875,225.94482421875
