phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
-53,-20,-33,194.150390625,194.150390625
-55,-20,-35,194.26025390625,194.26025390625
-54,-20,-34,194.43603515625,194.43603515625
-59,-20,-39,194.47998046875,194.47998046875
-66,-20,-46,194.4580078125,194.4580078125
-78,-20,-58,194.34814453125,194.34814453125
-77,-20,-57,194.52392578125,194.52392578125
-80,-20,-60,194.61181640625,194.61181640625
-84,-20,-64,194.65576171875,194.65576171875
-87,-20,-67,194.74365234375,194.74365234375
-80,-20,-60,195.05126953125,195.05126953125
-84,-20,-64,195.09521484375,195.09521484375
-84,-20,-64,195.2490234375,195.2490234375
-78,-20,-58,195.53466796875,195.53466796875
-68,-20,-48,195.908203125,195.908203125
-65,-20,-45,196.10595703125,196.10595703125
-57,-20,-37,196.435546875,196.435546875
-61,-20,-41,196.50146484375,196.50146484375
-59,-20,-39,196.69921875,196.69921875
-48,-24,-24,197.0947265625,197.0947265625
-54,-24,-30,197.0947265625,197.0947265625
-60,-24,-36,197.11669921875,197.11669921875
-60,-24,-36,197.2705078125,197.2705078125
-63,-24,-39,197.33642578125,197.33642578125
-62,-24,-38,197.51220703125,197.51220703125
-74,-24,-50,197.40234375,197.40234375
-75,-24,-51,197.51220703125,197.51220703125
-81,-24,-57,197.5341796875,197.5341796875
-83,-24,-59,197.64404296875,197.64404296875
-92,-24,-68,197.578125,197.578125
-89,-24,-65,197.7978515625,197.7978515625
-84,-24,-60,198.03955078125,198.03955078125
-76,-24,-52,198.369140625,198.369140625
-72,-24,-48,198.61083984375,198.61083984375
-59,-24,-35,199.05029296875,199.05029296875
-54,-24,-30,199.2919921875,199.2919921875
-51,-24,-27,199.51171875,199.51171875
-49,-28,-21,199.70947265625,199.70947265625
-48,-28,-20,199.88525390625,199.88525390625
-47,-28,-19,200.0390625,200.0390625
-49,-28,-21,200.14892578125,200.14892578125
-54,-28,-26,200.19287109375,200.19287109375
-52,-28,-24,200.390625,200.390625
-55,-28,-27,200.45654296875,200.45654296875
-56,-28,-28,200.58837890625,200.58837890625
-56,-28,-28,200.7421875,200.7421875
-63,-28,-35,200.72021484375,200.72021484375
-67,-28,-39,200.7861328125,200.7861328125
-74,-28,-46,200.7861328125,200.7861328125
-70,-28,-42,201.005859375,201.005859375
-75,-28,-47,201.0498046875,201.0498046875
-68,-28,-40,201.33544921875,201.33544921875
-62,-28,-34,201.62109375,201.62109375
-55,-28,-27,201.9287109375,201.9287109375
-48,-28,-20,202.236328125,202.236328125
-42,-32,-10,202.5,202.5
-36,-32,-4,202.78564453125,202.78564453125
-32,-32,0,203.02734375,203.02734375
-40,-32,-8,202.9833984375,202.9833984375
-40,-32,-8,203.13720703125,203.13720703125
-44,-32,-12,203.203125,203.203125
-48,-32,-16,203.2470703125,203.2470703125
-49,-32,-17,203.37890625,203.37890625
-60,-32,-28,203.26904296875,203.26904296875
-61,-32,-29,203.40087890625,203.40087890625
-68,-32,-36,203.40087890625,203.40087890625
-69,-32,-37,203.5107421875,203.5107421875
-85,-32,-53,203.31298828125,203.31298828125
-85,-32,-53,203.44482421875,203.44482421875
-83,-32,-51,203.642578125,203.642578125
-86,-32,-54,203.70849609375,203.70849609375
-83,-32,-51,203.92822265625,203.92822265625
-79,-32,-47,204.169921875,204.169921875
-74,-32,-42,204.41162109375,204.41162109375
-69,-32,-37,204.67529296875,204.67529296875
-67,-32,-35,204.873046875,204.873046875
-58,-32,-26,205.20263671875,205.20263671875
-58,-36,-22,205.3564453125,205.3564453125
-56,-36,-20,205.55419921875,205.55419921875
-57,-36,-21,205.68603515625,205.68603515625
-64,-36,-28,205.6640625,205.6640625
-59,-36,-23,205.927734375,205.927734375
-67,-36,-31,205.90576171875,205.90576171875
-66,-36,-30,206.08154296875,206.08154296875
-71,-36,-35,206.103515625,206.103515625
