phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
-8,4,-12,179.31884765625,179.31884765625
-7,4,-11,179.40673828125,179.40673828125
-9,4,-13,179.4287109375,179.4287109375
-10,4,-14,179.47265625,179.47265625
-9,4,-13,179.58251953125,179.58251953125
-9,4,-13,179.6484375,179.6484375
-9,4,-13,179.71435546875,179.71435546875
-5,4,-9,179.8681640625,179.8681640625
-9,4,-13,179.84619140625,179.84619140625
-7,4,-11,179.9560546875,179.9560546875
-9,0,-9,180,180
-5,0,-5,180.15380859375,180.15380859375
-8,0,-8,180.15380859375,180.15380859375
-7,0,-7,180.24169921875,180.24169921875
-8,0,-8,180.28564453125,180.28564453125
-6,0,-6,180.41748046875,180.41748046875
-10,0,-10,180.3955078125,180.3955078125
-5,0,-5,180.5712890625,180.5712890625
-6,0,-6,180.615234375,180.615234375
-3,0,-3,180.7470703125,180.7470703125
-10,0,-10,180.68115234375,180.68115234375
-9,0,-9,180.76904296875,180.76904296875
-11,0,-11,180.791015625,180.791015625
-11,0,-11,180.85693359375,180.85693359375
-11,0,-11,180.9228515625,180.9228515625
-14,0,-14,180.9228515625,180.9228515625
-17,0,-17,180.94482421875,180.94482421875
-20,0,-20,180.94482421875,180.94482421875
-18,0,-18,181.0546875,181.0546875
-18,0,-18,181.12060546875,181.12060546875
-18,0,-18,181.1865234375,181.1865234375
-22,0,-22,181.1865234375,181.1865234375
-22,0,-22,181.25244140625,181.25244140625
-24,0,-24,181.2744140625,181.2744140625
-26,0,-26,181.29638671875,181.29638671875
-27,0,-27,181.34033203125,181.34033203125
-22,0,-22,181.51611328125,181.51611328125
-23,0,-23,181.56005859375,181.56005859375
-21,0,-21,181.69189453125,181.69189453125
-26,0,-26,181.64794921875,181.64794921875
-28,0,-28,181.669921875,181.669921875
-26,0,-26,181.77978515625,181.77978515625
-23,0,-23,181.91162109375,181.91162109375
-23,0,-23,181.9775390625,181.9775390625
-24,0,-24,182.021484375,182.021484375
-21,0,-21,182.1533203125,182.1533203125
-25,0,-25,182.13134765625,182.13134765625
-19,0,-19,182.3291015625,182.3291015625
-17,0,-17,182.43896484375,182.43896484375
-14,0,-14,182.57080078125,182.57080078125
-11,0,-11,182.724609375,182.724609375
-13,0,-13,182.74658203125,182.74658203125
-10,-4,-6,182.87841796875,182.87841796875
-7,-4,-3,183.01025390625,183.01025390625
-6,-4,-2,183.09814453125,183.09814453125
-7,-4,-3,183.14208984375,183.14208984375
-4,-4,0,183.27392578125,183.27392578125
-7,-4,-3,183.27392578125,183.27392578125
-1,-4,3,183.4716796875,183.4716796875
-1,-4,3,183.5595703125,183.5595703125
0,-4,4,183.6474609375,183.6474609375
-3,-4,1,183.6474609375,183.6474609375
1,-4,5,183.8232421875,183.8232421875
0,-4,4,183.8671875,183.8671875
-2,-4,2,183.8671875,183.8671875
-1,-4,3,183.955078125,183.955078125
-2,-4,2,183.9990234375,183.9990234375
-7,-4,-3,183.97705078125,183.97705078125
-5,-4,-1,184.0869140625,184.0869140625
-6,-4,-2,184.130859375,184.130859375
-5,-4,-1,184.21875,184.21875
-10,-4,-6,184.1748046875,184.1748046875
-13,-4,-9,184.1748046875,184.1748046875
-18,-4,-14,184.130859375,184.130859375
-24,-4,-20,184.06494140625,184.06494140625
-21,-4,-17,184.21875,184.21875
-22,-4,-18,184.2626953125,184.2626953125
-24,-4,-20,184.28466796875,184.28466796875
-25,-4,-21,184.32861328125,184.32861328125
-25,-4,-21,184.39453125,184.39453125
-24,-4,-20,184.50439453125,184.50439453125
-25,-4,-21,184.54833984375,184.54833984375
-25,-4,-21,184.6142578125,184.6142578125
-27,-4,-23,184.63623046875,184.63623046875
-22,-4,-18,184.81201171875,184.81201171875
-27,-4,-23,184.76806640625,184.76806640625
-28,-4,-24,184.81201171875,184.81201171875
-25,-4,-21,184.94384765625,184.94384765625
-28,-4,-24,184.94384765625,184.94384765625
-25,-4,-21,185.07568359375,185.07568359375
-21,-4,-17,185.25146484375,185.25146484375
-18,-4,-14,185.38330078125,185.38330078125
-19,-4,-15,185.42724609375,185.42724609375
-10,-8,-2,185.69091796875,185.69091796875
-13,-8,-5,185.69091796875,185.69091796875
-12,-8,-4,185.77880859375,185.77880859375
-14,-8,-6,185.82275390625,185.82275390625
-14,-8,-6,185.888671875,185.888671875
-13,-8,-5,185.9765625,185.9765625
-10,-8,-2,186.1083984375,186.1083984375
-7,-8,1,186.240234375,186.240234375
-10,-8,-2,186.240234375,186.240234375
-10,-8,-2,186.328125,186.328125
-8,-8,0,186.43798828125,186.43798828125
-13,-8,-5,186.39404296875,186.39404296875
-7,-8,1,186.591796875,186.591796875
-11,-8,-3,186.591796875,186.591796875
-14,-8,-6,186.591796875,186.591796875
-12,-8,-4,186.70166015625,186.70166015625
-10,-8,-2,186.8115234375,186.8115234375
-12,-8,-4,186.85546875,186.85546875
-14,-8,-6,186.87744140625,186.87744140625
-16,-8,-8,186.8994140625,186.8994140625
-20,-8,-12,186.87744140625,186.87744140625
-18,-8,-10,186.9873046875,186.9873046875
-18,-8,-10,187.0751953125,187.0751953125
-19,-8,-11,187.119140625,187.119140625
-24,-8,-16,187.0751953125,187.0751953125
-27,-8,-19,187.0751953125,187.0751953125
-28,-8,-20,187.14111328125,187.14111328125
-25,-8,-17,187.27294921875,187.27294921875
-28,-8,-20,187.27294921875,187.27294921875
-30,-8,-22,187.294921875,187.294921875
-28,-8,-20,187.4267578125,187.4267578125
-29,-8,-21,187.470703125,187.470703125
-30,-8,-22,187.5146484375,187.5146484375
-33,-8,-25,187.5146484375,187.5146484375
-33,-8,-25,187.58056640625,187.58056640625
-34,-8,-26,187.646484375,187.646484375
-33,-8,-25,187.734375,187.734375
-35,-8,-27,187.75634765625,187.75634765625
-28,-8,-20,187.998046875,187.998046875
-26,-8,-18,188.10791015625,188.10791015625
-25,-8,-17,188.19580078125,188.19580078125
-20,-8,-12,188.3935546875,188.3935546875
-20,-12,-8,188.45947265625,188.45947265625
-23,-12,-11,188.45947265625,188.45947265625
-26,-12,-14,188.4814453125,188.4814453125
-23,-12,-11,188.61328125,188.61328125
-21,-12,-9,188.72314453125,188.72314453125
-23,-12,-11,188.76708984375,188.76708984375
-24,-12,-12,188.81103515625,188.81103515625
-23,-12,-11,188.9208984375,188.9208984375
-24,-12,-12,188.96484375,188.96484375
-26,-12,-14,188.98681640625,188.98681640625
-26,-12,-14,189.07470703125,189.07470703125
-27,-12,-15,189.11865234375,189.11865234375
-32,-12,-20,189.0966796875,189.0966796875
-33,-12,-21,189.140625,189.140625
-33,-12,-21,189.20654296875,189.20654296875
-35,-12,-23,189.25048828125,189.25048828125
-36,-12,-24,189.29443359375,189.29443359375
-40,-12,-28,189.29443359375,189.29443359375
-39,-12,-27,189.38232421875,189.38232421875
-44,-12,-32,189.3603515625,189.3603515625
-49,-12,-37,189.31640625,189.31640625
-51,-12,-39,189.3603515625,189.3603515625
-48,-12,-36,189.4921875,189.4921875
-51,-12,-39,189.51416015625,189.51416015625
-57,-12,-45,189.4482421875,189.4482421875
-58,-12,-46,189.51416015625,189.51416015625
-64,-12,-52,189.4482421875,189.4482421875
-62,-12,-50,189.580078125,189.580078125
-59,-12,-47,189.7119140625,189.7119140625
-61,-12,-49,189.73388671875,189.73388671875
-66,-12,-54,189.7119140625,189.7119140625
-68,-12,-56,189.73388671875,189.73388671875
-67,-12,-55,189.84375,189.84375
-63,-12,-51,189.99755859375,189.99755859375
-60,-12,-48,190.1513671875,190.1513671875
-59,-12,-47,190.2392578125,190.2392578125
-52,-12,-40,190.48095703125,190.48095703125
-51,-12,-39,190.56884765625,190.56884765625
-50,-12,-38,190.6787109375,190.6787109375
-50,-12,-38,190.74462890625,190.74462890625
-47,-12,-35,190.8984375,190.8984375
-49,-12,-37,190.92041015625,190.92041015625
-46,-12,-34,191.07421875,191.07421875
-46,-12,-34,191.14013671875,191.14013671875
-44,-16,-28,191.27197265625,191.27197265625
-43,-16,-27,191.35986328125,191.35986328125
-46,-16,-30,191.3818359375,191.3818359375
-45,-16,-29,191.4697265625,191.4697265625
-47,-16,-31,191.513671875,191.513671875
-46,-16,-30,191.6015625,191.6015625
-47,-16,-31,191.66748046875,191.66748046875
-50,-16,-34,191.689453125,191.689453125
-53,-16,-37,191.689453125,191.689453125
-58,-16,-42,191.66748046875,191.66748046875
-58,-16,-42,191.7333984375,191.7333984375
-58,-16,-42,191.8212890625,191.8212890625
-61,-16,-45,191.8212890625,191.8212890625
-65,-16,-49,191.8212890625,191.8212890625
-62,-16,-46,191.953125,191.953125
-62,-16,-46,192.041015625,192.041015625
-64,-16,-48,192.0849609375,192.0849609375
-62,-16,-46,192.19482421875,192.19482421875
-69,-16,-53,192.12890625,192.12890625
-72,-16,-56,192.12890625,192.12890625
-69,-16,-53,192.28271484375,192.28271484375
-68,-16,-52,192.37060546875,192.37060546875
-73,-16,-57,192.32666015625,192.32666015625
-79,-16,-63,192.28271484375,192.28271484375
-78,-16,-62,192.37060546875,192.37060546875
-75,-16,-59,192.5244140625,192.5244140625
-73,-16,-57,192.63427734375,192.63427734375
-70,-16,-54,192.7880859375,192.7880859375
-64,-16,-48,192.98583984375,192.98583984375
-62,-16,-46,193.11767578125,193.11767578125
-57,-16,-41,193.29345703125,193.29345703125
-61,-16,-45,193.29345703125,193.29345703125
-58,-16,-42,193.42529296875,193.42529296875
-56,-16,-40,193.55712890625,193.55712890625
-51,-16,-35,193.73291015625,193.73291015625
-53,-16,-37,193.77685546875,193.77685546875
-57,-16,-41,193.7548828125,193.7548828125
-53,-16,-37,193.9306640625,193.9306640625
-53,-16,-37,193.99658203125,193.99658203125
-56,-16,-40,194.0185546875,194.0185546875
-57,-20,-37,194.0625,194.0625
-60,-20,-40,194.08447265625,194.08447265625
-54,-20,-34,194.2822265625,194.2822265625
-58,-20,-38,194.2822265625,194.2822265625
-61,-20,-41,194.2822265625,194.2822265625
-59,-20,-39,194.4140625,194.4140625
-65,-20,-45,194.34814453125,194.34814453125
-64,-20,-44,194.4580078125,194.4580078125
-65,-20,-45,194.501953125,194.501953125
-69,-20,-49,194.501953125,194.501953125
-67,-20,-47,194.61181640625,194.61181640625
-71,-20,-51,194.61181640625,194.61181640625
-70,-20,-50,194.69970703125,194.69970703125
-74,-20,-54,194.677734375,194.677734375
-77,-20,-57,194.69970703125,194.69970703125
-74,-20,-54,194.83154296875,194.83154296875
-79,-20,-59,194.78759765625,194.78759765625
-79,-20,-59,194.87548828125,194.87548828125
-80,-20,-60,194.91943359375,194.91943359375
-87,-20,-67,194.83154296875,194.83154296875
-89,-20,-69,194.87548828125,194.87548828125
-89,-20,-69,194.94140625,194.94140625
-90,-20,-70,194.9853515625,194.9853515625
-89,-20,-69,195.09521484375,195.09521484375
-86,-20,-66,195.22705078125,195.22705078125
-86,-20,-66,195.29296875,195.29296875
-84,-20,-64,195.4248046875,195.4248046875
-78,-20,-58,195.62255859375,195.62255859375
-74,-20,-54,195.7763671875,195.7763671875
-71,-20,-51,195.93017578125,195.93017578125
-71,-20,-51,195.99609375,195.99609375
-68,-20,-48,196.1279296875,196.1279296875
-66,-20,-46,196.259765625,196.259765625
-62,-20,-42,196.41357421875,196.41357421875
-61,-20,-41,196.5234375,196.5234375
