phase error in absolute resolution,track offset curve in absolute resolution,phase margin in absolute resolution,single turn position in degree,continuous single turn position in degree
165,32,133,30.03662109375,30.03662109375
167,32,135,30.12451171875,30.12451171875
163,32,131,30.08056640625,30.08056640625
163,32,131,30.1025390625,30.1025390625
165,32,133,30.1904296875,30.1904296875
163,32,131,30.16845703125,30.16845703125
160,32,128,30.146484375,30.146484375
164,32,132,30.2783203125,30.2783203125
168,32,136,30.38818359375,30.38818359375
167,32,135,30.41015625,30.41015625
162,32,130,30.322265625,30.322265625
160,32,128,30.322265625,30.322265625
166,32,134,30.498046875,30.498046875
166,32,134,30.52001953125,30.52001953125
163,32,131,30.498046875,30.498046875
165,32,133,30.5859375,30.5859375
168,32,136,30.673828125,30.673828125
172,32,140,30.8056640625,30.8056640625
170,32,138,30.8056640625,30.8056640625
173,32,141,30.8935546875,30.8935546875
173,32,141,30.9375,30.9375
172,32,140,30.9375,30.9375
172,32,140,30.9814453125,30.9814453125
176,32,144,31.11328125,31.11328125
174,32,142,31.09130859375,31.09130859375
179,32,147,31.2451171875,31.2451171875
180,32,148,31.31103515625,31.31103515625
180,32,148,31.3330078125,31.3330078125
183,32,151,31.44287109375,31.44287109375
187,32,155,31.552734375,31.552734375
191,32,159,31.6845703125,31.6845703125
188,32,156,31.66259765625,31.66259765625
190,32,158,31.728515625,31.728515625
187,32,155,31.70654296875,31.70654296875
194,32,162,31.88232421875,31.88232421875
194,32,162,31.92626953125,31.92626953125
191,32,159,31.904296875,31.904296875
195,32,163,32.01416015625,32.01416015625
196,32,164,32.080078125,32.080078125
195,32,163,32.080078125,32.080078125
196,32,164,32.14599609375,32.14599609375
194,32,162,32.14599609375,32.14599609375
197,32,165,32.23388671875,32.23388671875
198,32,166,32.2998046875,32.2998046875
199,32,167,32.34375,32.34375
197,32,165,32.34375,32.34375
198,32,166,32.3876953125,32.3876953125
197,32,165,32.40966796875,32.40966796875
193,32,161,32.36572265625,32.36572265625
195,32,163,32.431640625,32.431640625
199,32,167,32.5634765625,32.5634765625
198,32,166,32.5634765625,32.5634765625
204,32,172,32.7392578125,32.7392578125
200,32,168,32.67333984375,32.67333984375
196,32,164,32.62939453125,32.62939453125
199,32,167,32.7392578125,32.7392578125
204,32,172,32.87109375,32.87109375
204,32,172,32.9150390625,32.9150390625
207,32,175,33.02490234375,33.02490234375
207,32,175,33.046875,33.046875
212,32,180,33.20068359375,33.20068359375
209,32,177,33.1787109375,33.1787109375
215,32,183,33.33251953125,33.33251953125
213,32,181,33.33251953125,33.33251953125
211,32,179,33.33251953125,33.33251953125
209,32,177,33.310546875,33.310546875
212,32,180,33.42041015625,33.42041015625
213,32,181,33.46435546875,33.46435546875
220,32,188,33.662109375,33.662109375
218,32,186,33.662109375,33.662109375
219,32,187,33.72802734375,33.72802734375
219,32,187,33.75,33.75
216,32,184,33.72802734375,33.72802734375
219,32,187,33.837890625,33.837890625
221,32,189,33.90380859375,33.90380859375
220,32,188,33.92578125,33.92578125
224,32,192,34.03564453125,34.03564453125
226,32,194,34.12353515625,34.12353515625
224,32,192,34.12353515625,34.12353515625
223,32,191,34.1455078125,34.1455078125
230,32,198,34.3212890625,34.3212890625
227,32,195,34.29931640625,34.29931640625
226,32,194,34.3212890625,34.3212890625
229,32,197,34.4091796875,34.4091796875
225,32,193,34.365234375,34.365234375
225,32,193,34.4091796875,34.4091796875
230,32,198,34.541015625,34.541015625
230,32,198,34.5849609375,34.5849609375
225,32,193,34.51904296875,34.51904296875
231,32,199,34.6728515625,34.6728515625
232,32,200,34.73876953125,34.73876953125
233,32,201,34.8046875,34.8046875
231,32,199,34.8046875,34.8046875
233,32,201,34.87060546875,34.87060546875
235,32,203,34.95849609375,34.95849609375
227,32,195,34.82666015625,34.82666015625
228,32,196,34.87060546875,34.87060546875
230,32,198,34.95849609375,34.95849609375
230,32,198,35.00244140625,35.00244140625
227,32,195,34.98046875,34.98046875
231,32,199,35.09033203125,35.09033203125
228,32,196,35.068359375,35.068359375
228,32,196,35.1123046875,35.1123046875
227,32,195,35.1123046875,35.1123046875
224,32,192,35.09033203125,35.09033203125
229,32,197,35.244140625,35.244140625
